Loading repository data...
Reading installed packages...

S  | Name                                  | Type    | Version                             | Arch   | Repository             
i  | akonadi-plugin-calendar               | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-plugin-contacts               | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-plugin-kalarmcal              | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-plugin-mime                   | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-search                        | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-search-lang                   | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | akonadi-server                        | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akonadi-server-lang                   | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | akregator                             | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | akregator-lang                        | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | alsa                                  | package | 1.1.7-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | alsa-oss                              | package | 1.1.6-2.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | alsa-plugins                          | package | 1.1.7-4.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | alsa-plugins-pulse                    | package | 1.1.7-4.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | alsa-utils                            | package | 1.1.7-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | apparmor                              | pattern | 20170410-8.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | apparmor-abstractions                 | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | apparmor-docs                         | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | apparmor-parser                       | package | 2.13-6.2                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | apparmor-parser-lang                  | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | apparmor-profiles                     | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | apparmor-utils                        | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | apparmor-utils-lang                   | package | 2.13-6.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | appstream-glib                        | package | 0.7.14+0-1.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | appstream-glib-lang                   | package | 0.7.14+0-1.1                        | noarch | openSUSE-Tumbleweed-Oss
i  | ark                                   | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | ark-lang                              | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
